Requirement ID,Domain,Title,Requirement,Priority,Phase,Preliminary Fit,Capability,Accountable Owner,Verification Method,Source Status,Implementation Status,Design Reference,Module Reference,Test Case,UAT Result,Release,Acceptance Notes,Decision / Comments
GOV-011,"Strategy, Mission Alignment, and Governance",Enterprise and division roll-up,"The platform shall aggregate data from JAD, DSD, AID, CID, JFID, and C3OD2 into a DDC5I enterprise portfolio while preserving division ownership and visibility boundaries.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",DDC5I Portfolio Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-012,"Strategy, Mission Alignment, and Governance",Portfolio taxonomy,"The platform shall apply a common configurable taxonomy for demand type, mission area, capability, customer, priority, lifecycle stage, project health, resource type, skill, cost category, and benefit type.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Data Steward,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-013,"Strategy, Mission Alignment, and Governance",Operating model flexibility,"The platform shall support waterfall, agile, hybrid, recurring operations, level-of-effort work, rapid-response taskers, and non-project core functions within one portfolio model.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Product Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-014,"Strategy, Mission Alignment, and Governance",Governance evidence,"The platform shall retain the evidence package used for each approval or prioritization decision, including attachments, scores, comments, resource estimates, and financial assumptions.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Records Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-015,"Strategy, Mission Alignment, and Governance",Outcome accountability,"Approved investments shall identify an accountable outcome owner, expected end state, measurable benefits, review dates, and the decision that will be informed by benefit results.",Must,2,Configure,"Strategy, Mission Alignment, and Governance",Benefits Owner,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-001,"Organization, Roles, and Stakeholders",Organization hierarchy,"The platform shall represent DDC5I, its six division portfolios, subordinate branches or teams, matrixed project teams, external organizations, and configurable future organizational changes.",Must,1,Configure,"Organization, Roles, and Stakeholders",Workforce Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-002,"Organization, Roles, and Stakeholders",Role-based workspaces,"The platform shall provide tailored workspaces for senior leaders, division chiefs, branch chiefs, portfolio managers, demand managers, project managers, resource managers, financial managers, team members, approvers, data stewards, auditors, and administrators.",Must,1,Configure,"Organization, Roles, and Stakeholders",Product Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-003,"Organization, Roles, and Stakeholders",Named accountability,"Every active demand, project, core function, risk, decision, benefit, resource plan, and financial plan shall have a named accountable owner and an alternate where required.",Must,1,Configure,"Organization, Roles, and Stakeholders",Division Chief,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-004,"Organization, Roles, and Stakeholders",Lead and support relationships,"The platform shall record lead, supporting, consulted, informed, approving, and beneficiary relationships for internal and external stakeholders at portfolio, project, milestone, and deliverable levels.",Must,1,Extend,"Organization, Roles, and Stakeholders",Project Manager,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-005,"Organization, Roles, and Stakeholders",External stakeholder register,"The platform shall maintain an external stakeholder register with organization, mission relationship, role, expected contribution, dependency, commitment, point of contact, and engagement status.",Must,2,Configure,"Organization, Roles, and Stakeholders",Stakeholder Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-006,"Organization, Roles, and Stakeholders",RACI matrices,"Users shall generate and maintain RACI or equivalent responsibility matrices from stored roles and assignments, with conflict detection for missing or duplicate accountability.",Must,2,Extend,"Organization, Roles, and Stakeholders",Project Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-007,"Organization, Roles, and Stakeholders",Delegation and acting roles,"Authorized users shall establish time-bounded delegations and acting roles for approval, reporting, and project responsibilities, with full audit history.",Must,1,Configure,"Organization, Roles, and Stakeholders",System Administrator,Demonstration,Proposed,Implemented,docs/USER_GUIDE.md#v050-portfolio-governance,app/main.py; app/models.py; app/services/v050.py; app/templates/portfolio_reviews.html; app/templates/scenarios.html; app/templates/integrations.html; app/templates/data_quality.html,tests/test_v050.py,Automated acceptance test passed,0.5.0,"User administration supports auditable acting-role delegation with delegated roles, organization scope, effective dates, expiration, and reason. Delegation-aware authorization enforcement remains a future hardening item.",
ORG-008,"Organization, Roles, and Stakeholders",Conflict-of-interest control,The platform shall permit designated reviewers to record conflicts of interest and recuse or reassign assessors without deleting the audit trail.,Must,2,Configure,"Organization, Roles, and Stakeholders",Portfolio Governance Board,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-009,"Organization, Roles, and Stakeholders",Contact and directory synchronization,"The platform shall synchronize approved identity, organization, title, and contact attributes from the authoritative directory while preventing unauthorized local overwrite.",Must,3,Integrate,"Organization, Roles, and Stakeholders",Identity Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-010,"Organization, Roles, and Stakeholders",Stakeholder contribution reporting,"Leaders shall view planned and actual contributions by internal and external stakeholder, including labor, deliverables, funding, decisions, and dependencies.",Must,3,Extend,"Organization, Roles, and Stakeholders",Division Portfolio Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-011,"Organization, Roles, and Stakeholders",Division-specific configuration,"Each division shall be able to maintain authorized local views, intake forms, scoring questions, reporting schedules, and reference data while inheriting mandatory DDC5I enterprise controls.",Must,2,Configure,"Organization, Roles, and Stakeholders",Division Administrator,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ORG-012,"Organization, Roles, and Stakeholders",Organizational change history,"The platform shall preserve historical ownership and reporting relationships when organizations, roles, or projects are realigned.",Must,3,Configure,"Organization, Roles, and Stakeholders",Data Steward,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-001,Demand and Work Intake,Single intake portal,"The platform shall provide a common, accessible intake portal for ideas, demands, taskers, modernization initiatives, mandates, unfunded requirements, operational needs, and change requests.",Must,1,Likely OOTB,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-002,Demand and Work Intake,Guided intake,"The intake experience shall use conditional questions, help text, examples, required fields, and progressive disclosure based on demand type and requester role.",Must,1,Configure,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-003,Demand and Work Intake,Minimum intake data,"Every submitted demand shall capture requester, sponsoring organization, title, problem or opportunity, mission need, desired outcome, required date, beneficiaries, urgency, consequences of inaction, preliminary scope, and known dependencies.",Must,1,Configure,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-004,Demand and Work Intake,Purpose and end state,"The intake shall require a clear purpose statement, measurable end state, and explanation of value to the Joint Staff and Joint or coalition forces before assessment begins.",Must,1,Configure,Demand and Work Intake,Demand Sponsor,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-005,Demand and Work Intake,Demand categories,"Authorized administrators shall configure demand categories including named project, recurring core function, emergent tasker, compliance mandate, capability gap, technical debt, process improvement, data or standards work, and innovation experiment.",Must,1,Configure,Demand and Work Intake,System Administrator,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-006,Demand and Work Intake,Core-function demand,Users shall record workload demands against recurring core functions even when the work does not qualify as a formal project.,Must,1,Extend,Demand and Work Intake,Division Portfolio Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-007,Demand and Work Intake,Attachment and evidence intake,"Requesters shall attach or link supporting documents, emails, directives, estimates, presentations, data, and prior decisions, subject to security and file controls.",Must,1,Configure,Demand and Work Intake,Demand Sponsor,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-008,Demand and Work Intake,Draft and collaborate,"Requesters shall save drafts, invite co-authors, track revisions, and submit only when validation rules are satisfied.",Must,1,Configure,Demand and Work Intake,Demand Sponsor,Demonstration,Proposed,Implemented,docs/USER_GUIDE.md#editing-a-submitted-demand,app/main.py; app/templates/demand_form.html; app/templates/demand_detail.html,tests/test_v031.py::test_requester_can_edit_a_submitted_demand_with_revision_and_audit,Automated test passed,0.3.1,"Requesters and authorized portfolio roles can edit Draft, Submitted, Clarification Required, and authorized Triage records before assessment. Saves use optimistic version checks, create revision and audit evidence, and notify accountable users; later assessment and decision baselines remain locked.",
DMD-009,Demand and Work Intake,Duplicate detection,"The platform shall identify potentially duplicate or overlapping demands using configurable metadata and text similarity and allow reviewers to merge, link, or dismiss the match.",Must,4,Extend,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 4,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-010,Demand and Work Intake,Demand relationships,"Users shall link demands as duplicates, predecessors, successors, alternatives, parent-child items, bundled requests, or mutually exclusive options.",Must,2,Configure,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-011,Demand and Work Intake,Intake SLA,"The platform shall measure acknowledgment, triage, assessment, decision, and requester-notification times against configurable service-level targets.",Must,1,Configure,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-012,Demand and Work Intake,Return for clarification,"Reviewers shall return a demand for clarification with specific questions, due dates, status, and an auditable response thread.",Must,1,Configure,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-013,Demand and Work Intake,Sensitive submission,Authorized requesters shall mark and route sensitive demands so that metadata and attachments are visible only to approved roles.,Must,1,Configure,Demand and Work Intake,Security Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-014,Demand and Work Intake,Bulk intake,Authorized users shall create or update demands through a validated Excel template and receive row-level success and error results.,Must,1,Integrate,Demand and Work Intake,Data Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 1,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-015,Demand and Work Intake,Email-originated demand,Authorized users shall convert an Outlook email or approved shared-mailbox message into a draft demand while preserving the source message reference and attachments allowed by policy.,Must,3,Integrate,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Requires integration,,,,Not Run,Integration roadmap / Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-016,Demand and Work Intake,Demand status transparency,"Requesters shall see the current stage, owner, next action, target decision date, pending information, and final disposition of their submissions.",Must,1,Configure,Demand and Work Intake,Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-017,Demand and Work Intake,Demand aging and backlog,"The platform shall report demand aging, stalled items, backlog by division and category, and demands approaching or exceeding decision SLAs.",Must,1,Configure,Demand and Work Intake,DDC5I Portfolio Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
DMD-018,Demand and Work Intake,Withdraw and resubmit,"Requesters shall withdraw eligible demands and create a new revision from a declined, deferred, or closed demand without altering the original record.",Must,1,Configure,Demand and Work Intake,Demand Sponsor,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-001,"Assessment, Prioritization, and Approval",Configurable assessment,"The platform shall route each demand through a configurable assessment appropriate to its type, value, urgency, sensitivity, and anticipated resource impact.",Must,1,Likely OOTB,"Assessment, Prioritization, and Approval",Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-002,"Assessment, Prioritization, and Approval",Mission-alignment score,"The assessment shall measure alignment to DDC5I mission, Joint Staff priorities, division objectives, directed mandates, and Joint or coalition operational outcomes.",Must,1,Configure,"Assessment, Prioritization, and Approval",Strategy Lead,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-003,"Assessment, Prioritization, and Approval",Value and ROI assessment,"The assessment shall capture quantitative and qualitative benefits, cost avoidance, readiness or interoperability impact, risk reduction, time saved, customer reach, and confidence in each estimate.",Must,1,Configure,"Assessment, Prioritization, and Approval",Benefits Owner,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-004,"Assessment, Prioritization, and Approval",Resource feasibility,"The assessment shall compare preliminary people, skill, time, funding, infrastructure, contracting, and external-support requirements against forecast availability.",Must,3,Configure,"Assessment, Prioritization, and Approval",Resource Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-005,"Assessment, Prioritization, and Approval",Risk assessment,"The assessment shall capture delivery, operational, technical, security, acquisition, financial, schedule, dependency, and opportunity risks using configurable likelihood and consequence scales.",Must,1,Configure,"Assessment, Prioritization, and Approval",Risk Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-006,"Assessment, Prioritization, and Approval",Urgency and consequence,"The platform shall distinguish urgency from importance and record operational, statutory, fiscal, or reputational consequences if work is delayed or not performed.",Must,1,Configure,"Assessment, Prioritization, and Approval",Demand Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-007,"Assessment, Prioritization, and Approval",Scoring model,"Authorized governance users shall configure weighted scoring models, mandatory gates, tie-breakers, normalization rules, and score bands without source-code changes.",Must,1,Configure,"Assessment, Prioritization, and Approval",Portfolio Governance Board,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-008,"Assessment, Prioritization, and Approval",Recommended scoring baseline,"The initial model shall support mission criticality, strategic alignment, operational impact, urgency, risk reduction, readiness or interoperability contribution, feasibility, and expected value, with weights approved during design.",Must,1,Configure,"Assessment, Prioritization, and Approval",Portfolio Governance Board,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-009,"Assessment, Prioritization, and Approval",Mandatory demand override,"Directed, statutory, safety, cybersecurity, and time-critical demands shall be identifiable as mandatory and shall retain an explanation when ranked outside the normal score order.",Must,1,Configure,"Assessment, Prioritization, and Approval",Portfolio Governance Board,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-010,"Assessment, Prioritization, and Approval",Independent scoring,"The platform shall support multiple assessors, blind or independent scoring where required, aggregation, variance detection, comments, and adjudication.",Must,2,Extend,"Assessment, Prioritization, and Approval",Demand Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-011,"Assessment, Prioritization, and Approval",Portfolio comparison,"Reviewers shall compare candidate demands side by side by alignment, value, risk, cost, resource demand, readiness, dependencies, and confidence.",Must,1,Configure,"Assessment, Prioritization, and Approval",Portfolio Governance Board,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-012,"Assessment, Prioritization, and Approval",Options analysis,"Reviewers shall record alternatives including approve, decline, defer, combine, pilot, re-scope, perform as core work, outsource, or request additional analysis.",Must,1,Configure,"Assessment, Prioritization, and Approval",Portfolio Governance Board,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-013,"Assessment, Prioritization, and Approval",What must stop,"When approving work beyond available capacity, the decision package shall identify work to stop, delay, reduce, or de-scope, or shall document an approved capacity increase.",Must,3,Extend,"Assessment, Prioritization, and Approval",Portfolio Governance Board,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-014,"Assessment, Prioritization, and Approval",Approval workflow,"The platform shall route approvals sequentially or in parallel based on configured authorities and shall support approve, reject, request changes, abstain, delegate, and approve with conditions.",Must,1,Likely OOTB,"Assessment, Prioritization, and Approval",Workflow Administrator,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-015,"Assessment, Prioritization, and Approval",Decision package,"The platform shall generate a decision-ready package containing the demand summary, alignment, score, alternatives, resource and cost estimates, risks, dependencies, stakeholder views, and staff recommendation.",Must,2,Extend,"Assessment, Prioritization, and Approval",Demand Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-016,"Assessment, Prioritization, and Approval",Decision conditions,"Approved conditions shall become trackable actions, constraints, milestones, or controls on the resulting project or work item.",Must,2,Configure,"Assessment, Prioritization, and Approval",Project Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 2,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-017,"Assessment, Prioritization, and Approval",Deferred review,"Deferred demands shall carry a reason, reconsideration trigger or date, owner, and refreshed resource or mission assumptions at the next review.",Must,1,Configure,"Assessment, Prioritization, and Approval",Demand Manager,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
ASM-018,"Assessment, Prioritization, and Approval",Conversion to execution,"An approved demand shall create or link to a project, program, recurring work package, or portfolio epic without rekeying approved data and shall preserve demand-to-delivery traceability.",Must,1,Likely OOTB,"Assessment, Prioritization, and Approval",Portfolio Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PFM-001,Portfolio and Core-Function Management,Portfolio hierarchy,"The platform shall support the DDC5I enterprise portfolio, six division portfolios, subordinate portfolios, programs, projects, products, services, and core-function work packages.",Must,1,Configure,Portfolio and Core-Function Management,DDC5I Portfolio Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PFM-002,Portfolio and Core-Function Management,Portfolio inventory,"Leaders shall view all proposed, approved, active, on-hold, completed, canceled, and archived work, including non-project core functions and unfunded requirements.",Must,1,Configure,Portfolio and Core-Function Management,DDC5I Portfolio Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
PFM-003,Portfolio and Core-Function Management,Named and core work distinction,The platform shall distinguish named projects from recurring core functions while enabling both to compete for and report the same constrained resources.,Must,1,Extend,Portfolio and Core-Function Management,Division Portfolio Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
